month,hour,temperature,wind_speed,pm25,pm10,no2,so2,co,ratio_pm25_pm10,ratio_so2_no2,ratio_co_no2,source_label
3,20,22.5,3.1,24.227478362779728,38.627944174958,26.670700550894075,18.068901342153247,0.7083351865789493,0.6272008063863074,0.6774812918840347,0.026558550971269967,Mixed_Background
3,21,22.1,2.1,20.03898965862401,36.217005849077694,19.549132762880653,13.804883551008867,0.7040899985237794,0.5533033069830929,0.7061634402042505,0.03601642952899968,Mixed_Background
3,22,22.1,0.5,30.898929538409607,53.69983225860691,17.804968182688526,18.6509777203498,1.374129391774353,0.5754008469562089,1.047515304799507,0.07717673519538555,Mixed_Background
3,23,21.5,0.9,21.744132923234105,32.55831090732863,22.85711959272105,17.09446434211377,0.9966488376721652,0.6678519754072282,0.7478835434572444,0.04360342912088202,Mixed_Background
3,0,20.0,2.6,36.40518990609577,57.73710019037417,19.31097276491924,18.33575889684524,1.4904917455618245,0.6305337323059992,0.9494994462762101,0.07718366581127495,Mixed_Background
3,1,20.1,5.7,34.95509056670412,67.81252496447327,28.95759616041549,18.017580550653516,1.3372164630836627,0.5154665759688256,0.6222056495517253,0.04617843309567181,Mixed_Background
3,2,21.1,7.5,38.28417526313456,69.4055598166388,34.22215614625273,15.250601861715827,1.0324561035771134,0.5516009785480558,0.44563531739219264,0.03016922922669022,Mixed_Background
3,3,24.0,5.4,36.63015855338016,72.95205932656106,14.662575540273531,12.018978512981338,1.0238455773685686,0.5021127352594251,0.8197044005171225,0.06982712585038406,Mixed_Background
3,4,27.5,6.2,71.9513154656762,133.84437795841035,36.46623002634197,11.96122395050152,2.4678982232604785,0.5375744280455269,0.3280082315570572,0.06767626249824811,Mixed_Background
3,5,30.0,8.5,75.75372554803957,148.87005933078098,37.22225279441558,13.926767897761842,2.407419744359694,0.5088580294769749,0.3741516560142111,0.06467689349646197,Mixed_Background
3,6,31.6,7.9,63.51268905889712,97.1561952846491,31.12106205039618,19.21571676156249,1.787263372821343,0.6537173282578609,0.6174505263668321,0.05742938054291788,Mixed_Background
3,7,32.7,6.7,80.69959383455523,150.33454099671448,37.50652621795858,18.161244409635508,1.6183941964822537,0.536800077764689,0.48421556877544464,0.04314966797852047,Mixed_Background
3,8,33.5,5.7,65.51697970153438,92.5185260964313,24.669101880113427,20.029907386365853,1.1480129590555657,0.7081498350405706,0.811943080528989,0.04653646971414662,Industry
3,9,33.8,5.7,68.49823565645228,123.4650567407074,35.54761480780985,20.531391102170165,1.6620894521494671,0.554798555234206,0.577574350222931,0.046756706867083456,Mixed_Background
3,10,33.8,5.8,38.65336023261042,64.99830649383165,30.49145253701207,13.915033258756395,0.8757297252720271,0.5946825651772337,0.4563584757238819,0.02872049783422171,Mixed_Background
3,11,33.5,6.6,21.26523347587292,34.19568719991654,20.889982575435194,24.81210838385852,0.9676174696364483,0.6218688552647647,1.1877514548664079,0.046319685515420046,Mixed_Background
3,12,32.7,6.5,28.491628666322484,54.6310628723045,27.68526415949277,14.480099756116491,1.1834099741522444,0.5215279851206863,0.5230255037362909,0.042745119735523814,Mixed_Background
3,13,31.1,2.7,43.11946449962139,82.46858956750187,30.35493362828918,12.530517691275447,1.14192730520194,0.5228592389283944,0.41280002229349794,0.037619165357639234,Mixed_Background
3,14,29.4,3.8,47.77804226750881,67.52857825408327,32.03672557994286,16.666664900969984,1.6850905593181111,0.7075232856260604,0.5202362001430082,0.052598712140992925,Vehicles
3,15,28.3,4.5,47.66551380493432,84.16314422388297,14.254480072452573,17.418559854804236,1.604347312602521,0.56634663163002,1.2219708150910096,0.11255038359151456,Mixed_Background
3,16,27.3,6.0,44.78240699060156,72.57881721112177,37.20030800270965,11.292199802975032,0.9916422763325984,0.6170175830134863,0.30355123668871986,0.02665682901344631,Mixed_Background
3,17,26.4,6.7,24.526336436029997,40.4536559501243,29.067222936963454,14.206739988159434,1.2306297394536423,0.6062823063504185,0.4887546199447473,0.04233736741157132,Mixed_Background
3,18,25.0,5.4,17.67603966650637,33.57076659945714,10.431912081968912,12.765142892899204,0.6409327867531014,0.5265306971054247,1.2236626966307047,0.0614396210663339,Mixed_Background
3,19,24.2,5.1,15.398854135458922,24.42110225791367,13.809900498697244,15.707714538470547,0.8941326683261059,0.630555219919023,1.1374240822754842,0.06474576726057416,Mixed_Background
3,20,23.5,5.8,36.115802115196765,70.99750149925144,26.70362836774277,18.97929506836489,0.8695547510048603,0.5086911629824944,0.7107384096369815,0.03256316731444969,Mixed_Background
3,21,22.6,5.8,44.05849624720401,66.43053250513833,33.47165993714525,13.670453616914823,1.2911437770712864,0.6632265905827196,0.4084187409338868,0.038574236859529036,Mixed_Background
3,22,21.8,5.5,24.407044292042603,43.8749193331458,23.69249744256128,17.863574942661355,1.049639812102288,0.5562869198785537,0.7539759888966024,0.04430262239531107,Mixed_Background
3,23,21.2,5.3,38.02759940376026,68.5737645126465,25.553485324425736,8.055762082847878,0.7334778028693526,0.554550258680882,0.31525099865326944,0.028703629460072745,Mixed_Background
3,0,20.9,6.3,39.64860525713949,61.50755920192495,24.88341166919956,19.44892912387416,0.8782851446944262,0.6446135259954375,0.7816021613445269,0.03529600848446157,Mixed_Background
3,1,21.0,8.1,36.72991472683617,58.57871792248271,19.77886177904148,12.73284821537567,1.007203604582459,0.6270180605253747,0.643760379836799,0.05092323132196127,Mixed_Background
